Information: Updating design information... (UID-85)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : dsp_slice_fp32
Version: O-2018.06-SP5
Date   : Wed Jul 15 00:47:55 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

  Startpoint: funct_flopped_reg[0]
              (rising edge-triggered flip-flop clocked by clk)
  Endpoint: resulta_flopped_1_reg[30]
            (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Point                                                   Incr       Path
  Adder/M2/add_34/U497/Y (BUFX2)                          0.05       1.45 f
  Adder/M2/add_34/U16/Y (OAI21X1)                         0.05       1.50 r
  Adder/M2/add_34/U258/Y (INVX2)                          0.02       1.52 f
  Adder/M2/add_34/U262/Y (AND2X1)                         0.03       1.55 f
  Adder/M2/add_34/U366/Y (INVX1)                          0.00       1.56 r
  Adder/M2/add_34/U296/Y (AND2X1)                         0.03       1.58 r
  Adder/M2/add_34/U351/Y (INVX1)                          0.02       1.61 f
  Adder/M2/add_34/SUM[31] (FpAddSub_b_DW01_add_1)         0.00       1.61 f
  Adder/M2/U153/Y (MUX2X1)                                0.06       1.67 r
  Adder/M2/U56/Y (AND2X1)                                 0.03       1.70 r
  Adder/M2/U66/Y (AND2X2)                                 0.05       1.75 r
  Adder/M2/U39/Y (AND2X2)                                 0.03       1.78 r
  Adder/M2/U161/Y (NAND3X1)                               0.01       1.79 f
  Adder/M2/U62/Y (BUFX2)                                  0.03       1.82 f
  Adder/M2/U71/Y (OR2X2)                                  0.04       1.86 f
  Adder/M2/U107/Y (INVX1)                                 0.00       1.86 r
  Adder/M2/U106/Y (AND2X2)                                0.04       1.90 r
  Adder/M2/U24/Y (AND2X1)                                 0.03       1.93 r
  Adder/M2/U184/Y (AOI22X1)                               0.02       1.95 f
  Adder/M2/U68/Y (BUFX2)                                  0.04       1.99 f
  Adder/M2/U185/Y (OAI21X1)                               0.02       2.01 r
  Adder/M2/U188/Y (OR2X2)                                 0.05       2.06 r
  Adder/M2/Shift[2] (FpAddSub_b)                          0.00       2.06 r
  Adder/M3/Shift[2] (FPAddSub_c)                          0.00       2.06 r
  Adder/M3/U106/Y (INVX1)                                 0.02       2.08 f
  Adder/M3/U331/Y (AND2X2)                                0.03       2.11 f
  Adder/M3/U128/Y (INVX1)                                 0.01       2.12 r
  Adder/M3/U134/Y (INVX4)                                 0.03       2.15 f
  Adder/M3/U473/Y (AOI22X1)                               0.04       2.19 r
  Adder/M3/U236/Y (BUFX2)                                 0.04       2.23 r
  Adder/M3/U34/Y (AND2X1)                                 0.05       2.28 r
  Adder/M3/U15/Y (INVX2)                                  0.02       2.30 f
  Adder/M3/U477/Y (AOI22X1)                               0.04       2.34 r
  Adder/M3/U217/Y (BUFX2)                                 0.03       2.37 r
  Adder/M3/U324/Y (AND2X2)                                0.03       2.41 r
  Adder/M3/U78/Y (INVX2)                                  0.03       2.43 f
  Adder/M3/NormM[6] (FPAddSub_c)                          0.00       2.43 f
  Adder/M4/NormM[6] (FPAddSub_d)                          0.00       2.43 f
  Adder/M4/add_56/A[6] (FPAddSub_d_DW01_inc_1)            0.00       2.43 f
  Adder/M4/add_56/U174/Y (AND2X2)                         0.04       2.47 f
  Adder/M4/add_56/U168/Y (AND2X2)                         0.03       2.51 f
  Adder/M4/add_56/U183/Y (AND2X2)                         0.03       2.54 f
  Adder/M4/add_56/U169/Y (AND2X2)                         0.04       2.57 f
  Adder/M4/add_56/U179/Y (AND2X2)                         0.04       2.61 f
  Adder/M4/add_56/SUM[23] (FPAddSub_d_DW01_inc_1)         0.00       2.61 f
  Adder/M4/U27/Y (AND2X2)                                 0.03       2.64 f
  Adder/M4/U83/Y (NAND3X1)                                0.03       2.67 r
  Adder/M4/U17/Y (BUFX2)                                  0.04       2.71 r
  Adder/M4/U15/Y (INVX1)                                  0.02       2.73 f
  Adder/M4/U18/Y (AND2X2)                                 0.04       2.77 f
  Adder/M4/U21/Y (AND2X2)                                 0.04       2.81 f
  Adder/M4/U14/Y (XNOR2X1)                                0.03       2.84 r
  Adder/M4/U29/Y (OR2X2)                                  0.04       2.88 r
  Adder/M4/U30/Y (INVX1)                                  0.02       2.89 f
  Adder/M4/P[30] (FPAddSub_d)                             0.00       2.89 f
  Adder/result[30] (FPAddSub_single)                      0.00       2.89 f
  U703/Y (AND2X1)                                         0.03       2.92 f
  U882/Y (INVX1)                                          0.00       2.92 r
  U1328/Y (OAI21X1)                                       0.01       2.93 f
  resulta_flopped_1_reg[30]/D (DFFPOSX1)                  0.00       2.93 f
  data arrival time                                                  2.93

  clock clk (rise edge)                                   3.00       3.00
  clock network delay (ideal)                             0.00       3.00
  resulta_flopped_1_reg[30]/CLK (DFFPOSX1)                0.00       3.00 r
  library setup time                                     -0.07       2.93
  data required time                                                 2.93
  --------------------------------------------------------------------------
  data required time                                                 2.93
  data arrival time                                                 -2.93
  --------------------------------------------------------------------------
  slack (MET)                                                        0.00


1
